artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig51,kmeans||,17,17,10,1,64,exact,3,45,10,3995122.667063853,3976572.3155150525,10,9.224566459655762,3.953274726867676,False
fig51,kmeans||,17,17,10,1,64,exact,4,46,10,4112042.9304883624,4059864.92675775,11,8.837742805480957,6.405986070632935,False
fig51,kmeans||,17,17,10,1,64,exact,5,47,10,3819981.141120524,3795620.230831716,9,9.561052083969116,4.375165939331055,False
fig51,kmeans||,17,17,10,1,64,exact,6,48,10,3900231.2736615017,3885544.1258925726,9,10.401993751525879,3.662447929382324,False
fig51,kmeans||,17,17,10,1,64,exact,7,49,10,3768065.618042207,3754828.0524304477,9,10.453919172286987,6.2029008865356445,False
fig51,kmeans||,17,17,10,1,64,exact,8,50,10,3781127.953243962,3762893.9762609582,15,9.275774002075195,9.59775996208191,False
fig51,kmeans||,17,17,10,1,64,exact,9,51,10,3645667.8574394076,3622176.0696069426,7,9.749384880065918,1.6413905620574951,False
fig51,kmeans||,17,17,10,1,64,exact,10,52,10,3837650.955908573,3823072.0487789265,10,9.781105518341064,5.7515318393707275,False
fig51,kmeans||,17,34,1,2,64,exact,0,42,1,5905949.98767005,5215624.534587215,14,2.8755710124969482,6.283059597015381,False
fig51,kmeans||,17,34,1,2,64,exact,1,43,1,6058691.04396285,4892611.451059486,25,2.5411059856414795,19.174360513687134,False
fig51,kmeans||,17,34,1,2,64,exact,2,44,1,4690821.016029852,4184597.3963449537,16,2.3462014198303223,9.611418008804321,False
fig51,kmeans||,17,34,1,2,64,exact,3,45,1,5009822.349365905,4716942.441796132,10,2.7514193058013916,4.7489073276519775,False
fig51,kmeans||,17,34,1,2,64,exact,4,46,1,5346172.8587211,4721331.095990295,12,2.870877265930176,6.80837345123291,False
fig51,kmeans||,17,34,1,2,64,exact,5,47,1,5730095.35860448,5204888.759377156,9,2.5054187774658203,2.887664794921875,False
fig51,kmeans||,17,34,1,2,64,exact,6,48,1,7741082.1751241945,5291336.484240537,25,2.552267074584961,18.253961086273193,False
fig51,kmeans||,17,34,1,2,64,exact,7,49,1,5539417.192724638,4544935.122393481,14,2.6635653972625732,6.078365087509155,False
fig51,kmeans||,17,34,1,2,64,exact,8,50,1,5679147.50740951,4750573.919283313,22,2.3465940952301025,12.749387502670288,False
fig51,kmeans||,17,34,1,2,64,exact,9,51,1,6054320.102396375,3853506.5764549198,25,2.3403475284576416,16.69763493537903,False
fig51,kmeans||,17,34,1,2,64,exact,10,52,1,4986573.961419231,4254909.5548719345,16,2.7094595432281494,7.593209266662598,False
fig51,kmeans||,17,34,2,2,64,exact,0,42,2,4069359.679302566,3847217.7564849956,16,2.7282302379608154,9.992105484008789,False
fig51,kmeans||,17,34,2,2,64,exact,1,43,2,3984132.045679376,3818395.4268322056,13,3.008899688720703,7.400976657867432,False
fig51,kmeans||,17,34,2,2,64,exact,2,44,2,4067938.572182851,3836321.200848323,18,2.8279855251312256,9.241228342056274,False
fig51,kmeans||,17,34,2,2,64,exact,3,45,2,4328151.646323407,4147179.6438202797,19,2.978461742401123,10.467806339263916,False
fig51,kmeans||,17,34,2,2,64,exact,4,46,2,3864751.307217441,3759117.2322446685,12,2.989060878753662,4.124086856842041,False
fig51,kmeans||,17,34,2,2,64,exact,5,47,2,4033778.6000072467,3759167.1919625285,9,3.3958687782287598,4.515927791595459,False
fig51,kmeans||,17,34,2,2,64,exact,6,48,2,4083248.4090505904,3773681.526838284,10,2.9664981365203857,4.458187103271484,False
fig51,kmeans||,17,34,2,2,64,exact,7,49,2,4227885.462169071,3839581.993709876,17,2.9359898567199707,7.679155349731445,False
fig51,kmeans||,17,34,2,2,64,exact,8,50,2,3914130.484344796,3709741.420792281,10,2.9223642349243164,5.551314830780029,False
fig51,kmeans||,17,34,2,2,64,exact,9,51,2,4068019.326113398,3877579.5617137877,7,3.9088099002838135,4.113069295883179,False
fig51,kmeans||,17,34,2,2,64,exact,10,52,2,4143936.8005845957,3818823.7432251917,15,2.7753684520721436,6.339754343032837,False
fig51,kmeans||,17,34,3,2,64,exact,0,42,3,3681052.5771931726,3644305.7339370144,12,3.9222702980041504,6.199429035186768,False
fig51,kmeans||,17,34,3,2,64,exact,1,43,3,3978220.409665167,3923169.9981336035,7,3.479999303817749,3.4826807975769043,False
fig51,kmeans||,17,34,3,2,64,exact,2,44,3,4001912.6309317322,3900616.2470273515,9,3.079763174057007,2.852213144302368,False
fig51,kmeans||,17,34,3,2,64,exact,3,45,3,3887473.794138807,3835050.2544399914,9,3.199985980987549,2.6434366703033447,False
fig51,kmeans||,17,34,3,2,64,exact,4,46,3,3980755.282153489,3895637.0329216523,14,3.9492714405059814,5.773244142532349,False
fig51,kmeans||,17,34,3,2,64,exact,5,47,3,3926215.876172175,3724779.957030596,16,3.4381892681121826,8.344053030014038,False
fig51,kmeans||,17,34,3,2,64,exact,6,48,3,4203711.150137449,3937114.0994761027,8,3.565640926361084,4.522826433181763,False
fig51,kmeans||,17,34,3,2,64,exact,7,49,3,4112791.2702628565,3994314.4563146974,19,3.3110363483428955,12.391849994659424,False
fig51,kmeans||,17,34,3,2,64,exact,8,50,3,3965513.2617195994,3758491.4028831227,18,3.1951303482055664,9.167441844940186,False
fig51,kmeans||,17,34,3,2,64,exact,9,51,3,3892743.4322081488,3734014.0836195257,11,3.9395666122436523,6.676245450973511,False
fig51,kmeans||,17,34,3,2,64,exact,10,52,3,4088842.8931156388,3899364.0401151404,18,3.8324735164642334,12.599474906921387,False
fig51,kmeans||,17,34,4,2,64,exact,0,42,4,3670748.67540142,3643279.2470132466,11,4.145632028579712,4.625421762466431,False
fig51,kmeans||,17,34,4,2,64,exact,1,43,4,3869153.473593427,3832285.2462905403,11,3.843031644821167,6.47604513168335,False
fig51,kmeans||,17,34,4,2,64,exact,2,44,4,4166886.341253861,4085326.0694521507,8,3.790120840072632,5.36775279045105,False
