artifact,method,R,n,d,k,l,r,l_over_k,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig52,kmeans||,1,10000,15,50,5.0,13.0,0.1,bernoulli,10,52,13.0,216005.54276994683,145933.38584293704,35.0,0.2084207534790039,1.3446364402770996,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,0,42,14.0,223632.34583754383,143630.08296019453,48.0,0.25579118728637695,3.4119954109191895,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,1,43,14.0,220833.22224026918,143680.23772006333,42.0,0.2754385471343994,1.4099993705749512,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,2,44,14.0,219429.89685270464,144259.7929895021,59.0,0.24343156814575195,3.9321110248565674,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,3,45,14.0,215963.67382795803,144021.04982300912,30.0,0.2635164260864258,2.5283443927764893,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,4,46,14.0,223863.84363841166,143777.745904573,29.0,0.22845005989074707,0.9558730125427246,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,5,47,14.0,214658.419559521,143582.7245708988,28.0,0.23198676109313965,1.5995337963104248,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,6,48,14.0,210020.70512289004,144299.0106217365,33.0,0.2185671329498291,1.9133107662200928,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,7,49,14.0,227303.01417857042,144891.49234498537,33.0,0.23795223236083984,1.7715048789978027,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,8,50,14.0,216800.35434324536,144535.4079753368,35.0,0.23169660568237305,1.9223670959472656,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,9,51,14.0,220204.1175849281,144658.47655866732,22.0,0.23966097831726074,0.4857065677642822,False
fig52,kmeans||,1,10000,15,50,5.0,14.0,0.1,bernoulli,10,52,14.0,213847.05024179016,144011.0256429601,59.0,0.26905298233032227,3.11206316947937,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,0,42,15.0,222026.0081564071,144099.2022831911,74.0,0.21938490867614746,3.335498332977295,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,1,43,15.0,216024.84341921392,142984.62105583376,39.0,0.2616140842437744,1.240081787109375,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,2,44,15.0,218594.9673491377,143663.26097766383,31.0,0.21465754508972168,1.7915537357330322,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,3,45,15.0,216204.9637461237,144500.218563821,28.0,0.26180315017700195,0.7052755355834961,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,4,46,15.0,221652.96847400028,144192.03586564248,37.0,0.2237255573272705,2.4008281230926514,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,5,47,15.0,211472.53278581373,143616.0327396838,32.0,0.2728536128997803,1.6898419857025146,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,6,48,15.0,208985.615431147,144783.01388781838,34.0,0.22533559799194336,2.0796656608581543,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,7,49,15.0,222794.0963207779,144067.20589177115,26.0,0.2589550018310547,1.1956865787506104,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,8,50,15.0,215220.93766623767,144180.53187282398,39.0,0.2672278881072998,2.7283244132995605,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,9,51,15.0,218583.90521404363,143542.72798498106,18.0,0.22750592231750488,0.7487585544586182,False
fig52,kmeans||,1,10000,15,50,5.0,15.0,0.1,bernoulli,10,52,15.0,209445.48448693953,143333.56838133303,38.0,0.22055673599243164,2.3313751220703125,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,0,42,0.0,233607.185143099,143869.55467704526,37.0,0.022816896438598633,1.6141750812530518,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,1,43,0.0,229041.86799252656,144819.57738847376,51.0,0.0235898494720459,2.8927035331726074,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,2,44,0.0,232125.56681468364,142947.23405671126,37.0,0.025599956512451172,1.7095990180969238,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,3,45,0.0,241133.97974930896,144245.97833695874,70.0,0.02357172966003418,3.6541099548339844,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,4,46,0.0,235899.24953818426,144368.12163175447,40.0,0.020166635513305664,2.247037887573242,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,5,47,0.0,231816.57786928586,144244.81332554016,40.0,0.021384477615356445,1.410102128982544,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,6,48,0.0,235063.60500962805,145058.11721723544,61.0,0.021647930145263672,3.106586217880249,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,7,49,0.0,232622.0944739139,144998.87056759582,33.0,0.020205259323120117,1.159769058227539,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,8,50,0.0,226772.57671175437,145342.87180807575,28.0,0.021216869354248047,1.517683982849121,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,9,51,0.0,237214.44208288338,143317.62734468546,51.0,0.022916316986083984,2.7632806301116943,False
fig52,kmeans||,1,10000,15,50,25.0,0.0,0.5,bernoulli,10,52,0.0,227018.4730972204,143622.45684095527,34.0,0.021359682083129883,2.3797852993011475,False
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,1,43,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,5,47,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,6,48,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,7,49,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,8,50,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,9,51,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,1.0,0.5,bernoulli,10,52,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,2.0,0.5,bernoulli,0,42,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,2.0,0.5,bernoulli,1,43,2.0,237548.02391118332,143893.23190861425,28.0,0.0779569149017334,1.0233981609344482,False
fig52,kmeans||,1,10000,15,50,25.0,2.0,0.5,bernoulli,2,44,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,2.0,0.5,bernoulli,3,45,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,2.0,0.5,bernoulli,4,46,,,,,,,True
fig52,kmeans||,1,10000,15,50,25.0,2.0,0.5,bernoulli,5,47,,,,,,,True
