k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,workers,l_over_k
500,500,5,5,128,625923.137969969,571174.90024336,89.7689526081085,50.0800042152405,10,50,"[625923.1379699693, 590707.5195666692, 583192.3399978551, 579199.0042884904, 576565.7833199305, 574746.3467783831, 573560.6581949211, 572651.2075972271, 572044.0556199064, 571534.5271821679]","[34.710426330566406, 1.6409823894500732, 1.606449842453003, 1.83493971824646, 1.8682703971862793, 1.6199603080749512, 1.873338222503662, 1.5854933261871338, 1.5899271965026855, 1.6060662269592285]",4,1
500,500,5,5,128,623651.181448602,572076.92025858,99.2479543685913,63.7316291332245,16,51,"[623651.1814486022, 589813.1437699524, 583002.955149432, 579716.1438320955, 577967.0155766382, 576895.810408181, 576067.7997639143, 575394.3425200934, 574823.4669940701, 574359.4654014786, 573957.3029931827, 573629.5789398531, 573219.4416464922, 572729.884368625, 572444.4140753787, 572252.1918751159]","[36.787282943725586, 1.7871203422546387, 1.8346786499023438, 1.8237817287445068, 1.772932767868042, 2.163468599319458, 1.700394868850708, 1.6600942611694336, 1.6846122741699219, 1.751706600189209, 1.7858271598815918, 1.661698818206787, 1.692906379699707, 2.0885281562805176, 1.667543888092041, 1.730834722518921]",4,1
500,500,5,5,256,629596.596091094,574870.105052731,108.547556161881,52.4258315563202,8,42,"[629596.5960910937, 593163.5704488147, 585537.7184532388, 581048.6384889889, 578437.9104308597, 576897.6353408471, 575923.3068639322, 575312.9283598994]","[35.459134578704834, 2.1812634468078613, 2.0540943145751953, 2.610994338989258, 2.4308555126190186, 2.3973729610443115, 2.712644338607788, 2.1955389976501465]",4,1
500,500,5,5,256,627018.789489053,575290.149581041,108.332966327667,61.8629176616669,8,43,"[627018.7894890532, 591330.1609067773, 584713.4517618121, 581412.6167105326, 579040.9043402501, 577344.3669608479, 576388.9606940232, 575722.8219749625]","[47.147722482681274, 1.9972176551818848, 2.1286091804504395, 2.097560167312622, 2.037482738494873, 2.0340898036956787, 2.3331215381622314, 1.9485721588134766]",4,1
500,500,5,5,256,620577.646102678,570847.084733074,107.96625995636,56.0802159309387,9,44,"[620577.6461026781, 585681.563015828, 579242.3966937353, 576086.1629777048, 574214.9518365966, 572844.0807164711, 572016.8811290488, 571491.7582814475, 571123.2056689927]","[38.071738481521606, 2.083805799484253, 2.0471062660217285, 2.2797727584838867, 2.3447210788726807, 2.121674060821533, 2.036332845687866, 2.413856029510498, 2.3269147872924805]",4,1
500,500,5,5,256,625364.799397955,569974.332957155,105.579112291336,56.4117703437805,11,45,"[625364.7993979545, 589584.5725428035, 582351.7170162431, 578664.9116451553, 576168.0168120125, 574310.6820553289, 573081.9967739804, 572166.300175314, 571385.611216585, 570785.5377325042, 570296.038913624]","[35.34568810462952, 2.0502755641937256, 2.0262935161590576, 2.503729820251465, 1.9338233470916748, 2.059195041656494, 1.9669468402862549, 2.0166995525360107, 2.2072556018829346, 1.9849731922149658, 2.2236878871917725]",4,1
500,500,5,5,256,626960.640080351,570754.52419351,102.565148591995,60.6323308944702,12,46,"[626960.6400803507, 590939.0701484446, 583701.1035072287, 579900.167519584, 577316.6580933118, 575455.4499920834, 574359.9100822802, 573481.0711808633, 572825.9579797988, 572253.0201373275, 571618.7627326974, 571031.8853595083]","[36.737908601760864, 2.240900754928589, 1.9708194732666016, 2.021766185760498, 2.6376640796661377, 2.071622610092163, 1.9443390369415283, 2.1844282150268555, 2.2768795490264893, 1.9666569232940674, 2.1423418521881104, 2.350167751312256]",4,1
500,500,5,5,256,620400.240018431,570391.915670596,93.7281761169434,56.1669893264771,10,47,"[620400.2400184311, 588465.5194027983, 581826.746316626, 578353.7672419967, 575625.2870834403, 573863.2299156567, 572637.2466735749, 571785.6274535743, 571145.6987985533, 570705.5330125616]","[36.63750672340393, 2.358830690383911, 2.003978729248047, 2.06703782081604, 2.7201976776123047, 1.9906563758850098, 2.0147037506103516, 2.3679137229919434, 1.9106051921844482, 1.964756965637207]",4,1
500,500,5,5,256,627232.562108298,572143.839464371,105.058821201324,59.4306468963623,8,48,"[627232.5621082977, 587697.3540914098, 580909.9317090089, 577420.7355934439, 575401.6802315388, 574139.4956844025, 573259.4229529799, 572641.1573688368]","[43.806147813797, 2.0831117630004883, 2.210571527481079, 2.1141357421875, 2.333731174468994, 2.031193733215332, 2.5726866722106934, 2.190917491912842]",4,1
500,500,5,5,256,628351.160223688,576698.091796106,96.9138615131378,46.0132186412811,9,49,"[628351.1602236879, 592983.4782906282, 586826.3274270789, 583951.4657277593, 581950.0895323416, 580237.5079270503, 579000.9198527844, 578147.2703023066, 577386.3575921804]","[29.802685976028442, 1.822373628616333, 1.9451086521148682, 2.2112982273101807, 2.0083837509155273, 1.8447816371917725, 2.1375651359558105, 2.203808546066284, 1.9495007991790771]",4,1
