artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed,time_total
l_sweep,kmeans||,1000,500,5,0.5,64,bernoulli,10,52,5.0,36602.374303497934,29546.27018442316,18.0,4.593108892440796,11.426995754241943,False,16.02010464668274
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,0,42,5.0,32030.911182226693,29386.203812191707,15.0,5.822577953338623,8.052409172058105,False,13.874987125396729
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,1,43,5.0,31992.51667549895,29287.75019697533,20.0,6.003262042999268,12.3489089012146,False,18.352170944213867
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,2,44,5.0,32258.616310987625,29476.398265677748,13.0,5.380825519561768,8.43643856048584,False,13.817264080047607
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,3,45,5.0,32438.314421415704,29658.18988547967,17.0,5.096330642700195,10.298242092132568,False,15.394572734832764
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,4,46,5.0,32577.39659404235,29544.6649584994,12.0,5.080923080444336,8.492851972579956,False,13.573775053024292
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,5,47,5.0,32294.4128477071,29485.68783634517,20.0,5.327959299087524,11.589789867401125,False,16.917749166488647
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,6,48,5.0,32591.52801807596,29620.4499645524,13.0,5.755682945251465,8.727784395217896,False,14.48346734046936
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,7,49,5.0,32012.73485538194,29313.87344689444,16.0,5.367119073867798,10.006603240966797,False,15.373722314834597
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,8,50,5.0,32220.441209176315,29407.60909067808,22.0,5.235291004180908,13.236282110214232,False,18.47157311439514
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,9,51,5.0,32207.33550256061,29511.785286416223,14.0,5.614455461502075,9.35668969154358,False,14.971145153045654
l_sweep,kmeans||,1000,1000,5,1.0,64,bernoulli,10,52,5.0,32422.63093229197,29518.73157208359,19.0,5.537754058837891,11.90101933479309,False,17.43877339363098
l_sweep,kmeans||,1000,2000,5,2.0,64,bernoulli,0,42,5.0,30544.583946742645,29359.62997799333,12.0,7.815381288528442,8.00145697593689,False,15.816838264465332
l_sweep,kmeans||,1000,2000,5,2.0,64,bernoulli,1,43,5.0,30612.78458100933,29545.25592210544,11.0,7.311099290847778,7.665087938308716,False,14.976187229156494
